Investigator,Maddy,Time (s),Electrode,Amplitude (mV)
,,00004.042880,C3_24,0.026
,,00004.043280,B1_32,0.049
,,00004.045200,B1_33,0.096
,,00004.045280,C3_24,0.11
,,00004.045360,B1_44,0.013
,,00004.045680,B1_32,0.015
,,00004.047680,B1_44,0.01
,,00004.048000,B1_32,0.037
,,00004.048080,B1_33,0.097
,,00004.048160,C3_24,0.02
,,00004.048320,B1_34,0.011
,,00004.050400,B1_33,0.075
,,00004.050400,C3_24,0.031
,,00004.051120,B1_32,0.03
,,00004.051520,B1_42,0.014
,,00004.052640,B1_33,0.037
,,00004.054160,B1_32,0.028
,,00004.054880,C3_24,0.023
,,00004.055040,B1_33,0.031
,,00004.056960,B1_32,0.02
,,00004.057360,C3_24,0.054
,,00004.057680,B1_33,0.044
,,00004.059520,B1_32,0.017
,,00004.060720,C3_24,0.053
,,00004.061600,B1_33,0.148
,,00004.061600,B6_14,0.375
,,00004.062080,B1_32,0.022
,,00004.063280,C3_24,0.033
,,00004.065280,B6_14,0.025
,,00004.065680,B1_33,0.026
,,00004.065680,C3_24,0.027
,,00004.068160,B6_14,0.012
,,00004.068720,D1_31,0.028
,,00004.070560,B6_14,0.03
,,00004.070640,C3_24,0.021
,,00004.071120,B1_33,0.021
,,00004.072160,D1_21,0.016
,,00004.073360,C3_24,0.026
,,00004.076240,B1_33,0.021
,,00004.076480,C3_24,0.037
,,00004.079120,C3_24,0.027
,,00004.081600,B1_33,0.027
,,00004.081760,C3_24,0.026
,,00004.084880,C3_24,0.015
,,00004.089280,C3_24,0.023
,,00004.090160,D1_31,0.027
,,00004.092240,C3_24,0.031
,,00004.092880,B1_33,0.018
,,00004.093680,D1_21,0.015
,,00004.095680,D3_23,0.021
,,00004.096480,C3_24,0.04
,,00004.096480,D3_33,0.016
,,00004.098800,D3_21,0.036
,,00004.098960,D3_33,0.023
,,00004.099280,C3_24,0.034
,,00004.100480,D3_32,0.014
