Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00060.814720,B3_12,18,0.09352
,,00060.803040,B3_23,18,0.10608
,,00060.799680,B3_14,36,0.11056
,,00060.806960,B3_33,21,0.09872
,,00060.802240,B3_24,26,0.10672
,,00060.797120,B3_34,32,0.11696
,,00060.805360,B3_32,27,0.10352
,,00060.799120,B3_43,39,0.15896
,,00060.796240,B3_44,23,0.1096
,,00060.804480,B3_42,33,0.10912
,,00061.170880,B6_14,5,0.03576
,,00061.399280,B2_41,6,0.02864
,,00061.658240,B6_33,5,0.03488
,,00061.974480,A1_41,20,0.07544
,,00061.970240,A1_31,23,0.07488
,,00061.986240,A1_22,9,0.05552
,,00061.988400,A1_43,10,0.05784
,,00062.098880,B6_33,5,0.0416
